name,label
M83,Artist
Daft Punk,Artist
Imagine Dragons,Artist
Of Monsters and Men,Artist
Avicii,Artist
Lorde,Artist
The Lumineers,Artist
Macklemore & Ryan Lewis,Artist
Bastille,Artist
Robin Thicke,Artist
Foster The People,Artist
Fun.,Artist
Nirvana,Artist
Gotye,Artist
Arctic Monkeys,Artist
Passenger,Artist
The Temper Trap,Artist
MGMT,Artist
Clean Bandit,Artist
OneRepublic,Artist
The Killers,Artist
Mark Ronson,Artist
Rihanna,Artist
AWOLNATION,Artist
Bruno Mars,Artist
Disclosure,Artist
Radiohead,Artist
The Black Keys,Artist
Mumford & Sons,Artist
Blur,Artist
The White Stripes,Artist
Oasis,Artist
Sia,Artist
JAY Z,Artist
Guns N' Roses,Artist
Coldplay,Artist
Journey,Artist
Justin Timberlake,Artist
Carly Rae Jepsen,Artist
Franz Ferdinand,Artist
Katy Perry,Artist
Vance Joy,Artist
Drake,Artist
Calvin Harris,Artist
The Naked And Famous,Artist
Two Door Cinema Club,Artist
Bon Iver,Artist
Pitbull,Artist
Florence + The Machine,Artist
Swedish House Mafia,Artist
Edward Sharpe & The Magnetic Zeros,Artist
Maroon 5,Artist
Pharrell Williams,Artist
Foo Fighters,Artist
The xx,Artist
Kings Of Leon,Artist
alt-J,Artist
Muse,Artist
Michael Jackson,Artist
Ellie Goulding,Artist
Ed Sheeran,Artist
Sam Smith,Artist
John Legend,Artist
OutKast,Artist
M.I.A.,Artist
Meghan Trainor,Artist
Passion Pit,Artist
R.E.M.,Artist
LMFAO,Artist
Milky Chance,Artist
Phoenix,Artist
Iggy Azalea,Artist
Adele,Artist
Survivor,Artist
Band of Horses,Artist
The Neighbourhood,Artist
Mr. Probz,Artist
CHVRCHES,Artist
Jason Mraz,Artist
The Cure,Artist
Eminem,Artist
The Black Eyed Peas,Artist
Icona Pop,Artist
Snow Patrol,Artist
Skrillex,Artist
The Strokes,Artist
The Cranberries,Artist
Toto,Artist
Green Day,Artist
Pixies,Artist
Red Hot Chili Peppers,Artist
will.i.am,Artist
Gorillaz,Artist
Hozier,Artist
Empire Of The Sun,Artist
Lana Del Rey,Artist
The Smashing Pumpkins,Artist
Miley Cyrus,Artist
Johnny Cash,Artist
Magic!,Artist
Kanye West,Artist
Massive Attack,Artist
John Newman,Artist
Capital Cities,Artist
Van Morrison,Artist
P!nk,Artist
Jet,Artist
The Rolling Stones,Artist
a-ha,Artist
Ariana Grande,Artist
Modest Mouse,Artist
Beck,Artist
Kavinsky,Artist
Arcade Fire,Artist
Lynyrd Skynyrd,Artist
U2,Artist
Lady Gaga,Artist
José González,Artist
"Earth, Wind & Fire",Artist
Nico & Vinz,Artist
Flo Rida,Artist
The Postal Service,Artist
Jason Derulo,Artist
Naughty Boy,Artist
Peter Bjorn And John,Artist
Fleetwood Mac,Artist
James Blake,Artist
PSY,Artist
Foals,Artist
Bon Jovi,Artist
Nicki Minaj,Artist
David Guetta,Artist
Jessie J,Artist
The Goo Goo Dolls,Artist
Counting Crows,Artist
Alex Clare,Artist
Creedence Clearwater Revival,Artist
House Of Pain,Artist
Vampire Weekend,Artist
Haim,Artist
Dire Straits,Artist
The Verve,Artist
Weezer,Artist
Rage Against The Machine,Artist
Train,Artist
Iggy Pop,Artist
Grouplove,Artist
Soundgarden,Artist
Queen,Artist
Spin Doctors,Artist
Europe,Artist
No Doubt,Artist
blink-182,Artist
Robyn,Artist
Queens Of The Stone Age,Artist
Frank Ocean,Artist
Beyoncé,Artist
The Script,Artist
Azealia Banks,Artist
Keane,Artist
A Great Big World,Artist
Linkin Park,Artist
Zedd,Artist
Death Cab for Cutie,Artist
Santigold,Artist
La Roux,Artist
American Authors,Artist
George Ezra,Artist
Lilly Wood and The Prick,Artist
DJ Snake,Artist
Ke$ha,Artist
Amy Winehouse,Artist
The Kooks,Artist
A$AP Rocky,Artist
System Of A Down,Artist
Grimes,Artist
Eagle-Eye Cherry,Artist
Blackstreet,Artist
Kiesza,Artist
Dr. Dre,Artist
Tame Impala,Artist
Black Sabbath,Artist
Natalie Imbruglia,Artist
Jimmy Eat World,Artist
Joy Division,Artist
Metallica,Artist
Jackson 5,Artist
Incubus,Artist
Faul & Wad Ad,Artist
Boston,Artist
Tove Lo,Artist
Snoop Dogg,Artist
Pearl Jam,Artist
The Proclaimers,Artist
John Mayer,Artist
Alabama Shakes,Artist
Otis Redding,Artist
Tears For Fears,Artist
Echosmith,Artist
Daughter,Artist
Jack Johnson,Artist
The 1975,Artist
Jennifer Lopez,Artist
The Shins,Artist
Supergrass,Artist
Grizzly Bear,Artist
The War On Drugs,Artist
50 Cent,Artist
Electric Guest,Artist
Kendrick Lamar,Artist
The Notorious B.I.G.,Artist
Soft Cell,Artist
Birdy,Artist
The Offspring,Artist
Bright Eyes,Artist
Spice Girls,Artist
Bryan Adams,Artist
Charli XCX,Artist
Marvin Gaye,Artist
Justice,Artist
Kelly Clarkson,Artist
Beach House,Artist
Smash Mouth,Artist
Kaiser Chiefs,Artist
Miike Snow,Artist
Yeah Yeah Yeahs,Artist
Martin Garrix,Artist
Broken Bells,Artist
Ben Howard,Artist
The Wanted,Artist
Bloc Party,Artist
Men At Work,Artist
Metronomy,Artist
The Ting Tings,Artist
Aloe Blacc,Artist
Taylor Swift,Artist
Crystal Castles,Artist
Bob Marley & The Wailers,Artist
Young the Giant,Artist
Bombay Bicycle Club,Artist
The Smiths,Artist
Owl City,Artist
Madonna,Artist
Lykke Li,Artist
The Clash,Artist
Taio Cruz,Artist
MS MR,Artist
Fall Out Boy,Artist
MC Hammer,Artist
Bill Withers,Artist
Buffalo Springfield,Artist
Simon & Garfunkel,Artist
TLC,Artist
The Cardigans,Artist
Idina Menzel,Artist
LCD Soundsystem,Artist
Moby,Artist
Phil Collins,Artist
Semisonic,Artist
Tracy Chapman,Artist
Aretha Franklin,Artist
Don Omar,Artist
Rudimental,Artist
Jeff Buckley,Artist
Britney Spears,Artist
New Radicals,Artist
The Police,Artist
Tiësto,Artist
Armin van Buuren,Artist
