source,target,weight,type
M83,Midnight City,2609,PERFORMED
Daft Punk,Get Lucky - Radio Edit,2341,PERFORMED
Imagine Dragons,Radioactive,2336,PERFORMED
Of Monsters and Men,Little Talks,2254,PERFORMED
Avicii,Wake Me Up,2242,PERFORMED
Lorde,Royals,2219,PERFORMED
The Lumineers,Ho Hey,2180,PERFORMED
Macklemore & Ryan Lewis,Can't Hold Us - feat. Ray Dalton,2066,PERFORMED
Bastille,Pompeii,2014,PERFORMED
Robin Thicke,Blurred Lines,1996,PERFORMED
Foster The People,Pumped up Kicks,1903,PERFORMED
Fun.,We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,1855,PERFORMED
Nirvana,Smells Like Teen Spirit,1842,PERFORMED
Gotye,Somebody That I Used To Know,1807,PERFORMED
Arctic Monkeys,Do I Wanna Know?,1790,PERFORMED
Passenger,Let Her Go,1779,PERFORMED
The Temper Trap,Sweet Disposition,1709,PERFORMED
MGMT,Kids,1702,PERFORMED
Clean Bandit,Rather Be (feat. Jess Glynne),1701,PERFORMED
Macklemore & Ryan Lewis,Thrift Shop - feat. Wanz,1697,PERFORMED
OneRepublic,Counting Stars,1696,PERFORMED
The Killers,Mr. Brightside,1679,PERFORMED
Daft Punk,Get Lucky,1669,PERFORMED
Mark Ronson,Uptown Funk,1668,PERFORMED
Rihanna,We Found Love,1626,PERFORMED
AWOLNATION,Sail,1564,PERFORMED
Bruno Mars,Locked Out Of Heaven,1559,PERFORMED
Disclosure,Latch,1552,PERFORMED
Imagine Dragons,It's Time,1545,PERFORMED
Radiohead,Creep,1530,PERFORMED
The Black Keys,Lonely Boy,1521,PERFORMED
Mumford & Sons,I Will Wait,1509,PERFORMED
Imagine Dragons,Demons,1494,PERFORMED
Blur,Song 2,1491,PERFORMED
The White Stripes,Seven Nation Army,1482,PERFORMED
Oasis,Wonderwall,1482,PERFORMED
Mumford & Sons,Little Lion Man,1477,PERFORMED
Sia,Chandelier,1477,PERFORMED
JAY Z,Ni**as In Paris,1472,PERFORMED
Guns N' Roses,Sweet Child O' Mine,1465,PERFORMED
Coldplay,Fix You,1457,PERFORMED
Journey,Don't Stop Believin',1444,PERFORMED
Justin Timberlake,Mirrors,1436,PERFORMED
Carly Rae Jepsen,Call Me Maybe,1430,PERFORMED
Franz Ferdinand,Take Me Out,1428,PERFORMED
Katy Perry,Roar,1424,PERFORMED
Coldplay,Viva La Vida,1398,PERFORMED
Vance Joy,Riptide,1382,PERFORMED
Drake,"Hold On, We're Going Home",1367,PERFORMED
Calvin Harris,Summer,1367,PERFORMED
The Naked And Famous,Young Blood,1365,PERFORMED
Two Door Cinema Club,What You Know,1361,PERFORMED
Bon Iver,Skinny Love,1355,PERFORMED
Pitbull,Timber,1349,PERFORMED
Katy Perry,Dark Horse,1349,PERFORMED
Coldplay,The Scientist,1347,PERFORMED
Mumford & Sons,The Cave,1344,PERFORMED
Calvin Harris,Sweet Nothing,1343,PERFORMED
Florence + The Machine,Dog Days Are Over,1342,PERFORMED
Swedish House Mafia,Don't You Worry Child (Radio Edit) [feat. John Martin],1335,PERFORMED
Edward Sharpe & The Magnetic Zeros,Home,1334,PERFORMED
Maroon 5,Moves Like Jagger - Studio Recording From The Voice Performance,1334,PERFORMED
Daft Punk,Lose Yourself to Dance,1327,PERFORMED
Pharrell Williams,Happy,1327,PERFORMED
Foo Fighters,Everlong,1313,PERFORMED
Fun.,Some Nights,1313,PERFORMED
Daft Punk,Instant Crush,1308,PERFORMED
The xx,Intro,1307,PERFORMED
Kings Of Leon,Use Somebody,1300,PERFORMED
alt-J,Breezeblocks,1293,PERFORMED
Muse,Uprising,1290,PERFORMED
MGMT,Electric Feel,1286,PERFORMED
Pharrell Williams,"Happy - From Despicable Me 2""""",1284,PERFORMED
Michael Jackson,Billie Jean - Single Version,1274,PERFORMED
Ellie Goulding,Burn,1272,PERFORMED
Coldplay,Yellow,1265,PERFORMED
Ed Sheeran,Thinking Out Loud,1264,PERFORMED
Sam Smith,Stay With Me,1244,PERFORMED
Nirvana,Come As You Are,1244,PERFORMED
John Legend,All of Me,1243,PERFORMED
Kings Of Leon,Sex on Fire,1237,PERFORMED
MGMT,Time to Pretend,1233,PERFORMED
Rihanna,Diamonds,1230,PERFORMED
Coldplay,Paradise,1224,PERFORMED
OutKast,Hey Ya! - Radio Mix / Club Mix,1223,PERFORMED
Avicii,Hey Brother,1222,PERFORMED
M.I.A.,Paper Planes,1220,PERFORMED
The xx,Crystalised,1220,PERFORMED
Meghan Trainor,All About That Bass,1219,PERFORMED
Passion Pit,Take a Walk,1218,PERFORMED
Calvin Harris,I Need Your Love,1214,PERFORMED
Lorde,Team,1213,PERFORMED
R.E.M.,Losing My Religion,1212,PERFORMED
LMFAO,Party Rock Anthem,1204,PERFORMED
Avicii,Levels - Radio Edit,1202,PERFORMED
Milky Chance,Stolen Dance,1197,PERFORMED
Imagine Dragons,On Top Of The World,1191,PERFORMED
Coldplay,A Sky Full of Stars,1186,PERFORMED
Coldplay,Magic,1183,PERFORMED
Florence + The Machine,Shake It Out,1179,PERFORMED
Phoenix,Lisztomania,1178,PERFORMED
Phoenix,1901,1160,PERFORMED
Katy Perry,Firework,1157,PERFORMED
Iggy Azalea,Fancy,1156,PERFORMED
The Killers,Somebody Told Me,1155,PERFORMED
Adele,Rolling In The Deep,1149,PERFORMED
Radiohead,Karma Police,1147,PERFORMED
