name,label
Midnight City,Track
Get Lucky - Radio Edit,Track
Radioactive,Track
Little Talks,Track
Wake Me Up,Track
Royals,Track
Ho Hey,Track
Can't Hold Us - feat. Ray Dalton,Track
Pompeii,Track
Blurred Lines,Track
Pumped up Kicks,Track
We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,Track
Smells Like Teen Spirit,Track
Somebody That I Used To Know,Track
Do I Wanna Know?,Track
Let Her Go,Track
Sweet Disposition,Track
Kids,Track
Rather Be (feat. Jess Glynne),Track
Thrift Shop - feat. Wanz,Track
Counting Stars,Track
Mr. Brightside,Track
Get Lucky,Track
Uptown Funk,Track
We Found Love,Track
Sail,Track
Locked Out Of Heaven,Track
Latch,Track
It's Time,Track
Creep,Track
Lonely Boy,Track
I Will Wait,Track
Demons,Track
Song 2,Track
Seven Nation Army,Track
Wonderwall,Track
Little Lion Man,Track
Chandelier,Track
Ni**as In Paris,Track
Sweet Child O' Mine,Track
Fix You,Track
Don't Stop Believin',Track
Mirrors,Track
Call Me Maybe,Track
Take Me Out,Track
Roar,Track
Viva La Vida,Track
Riptide,Track
"Hold On, We're Going Home",Track
Summer,Track
Young Blood,Track
What You Know,Track
Skinny Love,Track
Timber,Track
Dark Horse,Track
The Scientist,Track
The Cave,Track
Sweet Nothing,Track
Dog Days Are Over,Track
Don't You Worry Child (Radio Edit) [feat. John Martin],Track
Home,Track
Moves Like Jagger - Studio Recording From The Voice Performance,Track
Lose Yourself to Dance,Track
Happy,Track
Everlong,Track
Some Nights,Track
Instant Crush,Track
Intro,Track
Use Somebody,Track
Breezeblocks,Track
Uprising,Track
Electric Feel,Track
"Happy - From Despicable Me 2""""",Track
Billie Jean - Single Version,Track
Burn,Track
Yellow,Track
Thinking Out Loud,Track
Stay With Me,Track
Come As You Are,Track
All of Me,Track
Sex on Fire,Track
Time to Pretend,Track
Diamonds,Track
Paradise,Track
Hey Ya! - Radio Mix / Club Mix,Track
Hey Brother,Track
Paper Planes,Track
Crystalised,Track
All About That Bass,Track
Take a Walk,Track
I Need Your Love,Track
Team,Track
Losing My Religion,Track
Party Rock Anthem,Track
Levels - Radio Edit,Track
Stolen Dance,Track
On Top Of The World,Track
A Sky Full of Stars,Track
Magic,Track
Shake It Out,Track
Lisztomania,Track
1901,Track
Firework,Track
Fancy,Track
Somebody Told Me,Track
Rolling In The Deep,Track
Karma Police,Track
Eye of the Tiger,Track
The Funeral,Track
Clocks,Track
Sweater Weather,Track
Waves - Robin Schulz Radio Edit,Track
The Mother We Share,Track
R U Mine?,Track
I'm Yours,Track
Friday I'm In Love,Track
Love The Way You Lie,Track
Someone Like You,Track
I Gotta Feeling,Track
I Love It (feat. Charli XCX) - Original Version,Track
Chasing Cars,Track
Bangarang (feat. Sirah),Track
Only Girl (In The World),Track
Last Nite,Track
Tighten Up,Track
The Monster,Track
Zombie,Track
Holocene,Track
Africa,Track
Basket Case,Track
Where Is My Mind?,Track
Under The Bridge,Track
Scream & Shout,Track
Best Of You,Track
Feel Good Inc,Track
Take Me To Church,Track
The A Team,Track
Walking On A Dream,Track
Treasure,Track
Doin' it Right,Track
Video Games,Track
1979,Track
We Can't Stop,Track
Human,Track
Hurt,Track
Rude,Track
Madness,Track
Black Skinhead,Track
Empire State Of Mind [Jay-Z + Alicia Keys],Track
Something Good Can Work,Track
Teardrop,Track
Love Me Again,Track
Safe And Sound,Track
Angels,Track
Stronger,Track
Brown Eyed Girl,Track
Wrecking Ball,Track
Welcome To The Jungle,Track
Just Give Me a Reason,Track
Are You Gonna Be My Girl,Track
Lose Yourself - Soundtrack Version,Track
Sympathy For The Devil,Track
Take On Me,Track
One More Time,Track
Dirty Paws,Track
Problem,Track
Sexy And I Know It,Track
Lithium,Track
Islands,Track
Float On,Track
Loser,Track
The Pretender,Track
Feel so Close - Radio Edit,Track
Nightcall,Track
Reflektor,Track
